Name	Timestep	Value
Nature category	412	5
Nature days	412	4
Nature location	412	none
Nature phase	412	active
Nature action	413	Nature-evolve
Nature category	413	0
Nature days	413	0
Nature location	413	none
Nature phase	413	none
Nature action	414	Nature-evolve
Nature category	414	0
Nature days	414	1
Nature location	414	none
Nature phase	414	none
Nature action	415	Nature-evolve
Nature category	415	0
Nature days	415	2
Nature location	415	none
Nature phase	415	none
Nature action	416	Nature-evolve
Nature category	416	0
Nature days	416	3
Nature location	416	none
Nature phase	416	none
Nature action	417	Nature-evolve
Nature category	417	1
Nature days	417	0
Nature location	417	Region05
Nature phase	417	approaching
Nature action	418	Nature-evolve
Nature category	418	2
Nature days	418	1
Nature location	418	Region05
Nature phase	418	approaching
Nature action	419	Nature-evolve
Nature category	419	2
Nature days	419	2
Nature location	419	Region05
Nature phase	419	approaching
Nature action	420	Nature-evolve
Nature category	420	2
Nature days	420	3
Nature location	420	Region05
Nature phase	420	approaching
Nature action	421	Nature-evolve
Nature category	421	2
Nature days	421	4
Nature location	421	Region05
Nature phase	421	approaching
Nature action	422	Nature-evolve
Nature category	422	2
Nature days	422	0
Nature location	422	Region05
Nature phase	422	active
Nature action	423	Nature-evolve
Nature category	423	2
Nature days	423	1
Nature location	423	Region01
Nature phase	423	active
Nature action	424	Nature-evolve
Nature category	424	2
Nature days	424	2
Nature location	424	Region01
Nature phase	424	active
Nature action	425	Nature-evolve
Nature category	425	2
Nature days	425	3
Nature location	425	none
Nature phase	425	active
Nature action	426	Nature-evolve
Nature category	426	0
Nature days	426	0
Nature location	426	none
Nature phase	426	none
Nature action	427	Nature-evolve
Nature category	427	0
Nature days	427	1
Nature location	427	none
Nature phase	427	none
Nature action	428	Nature-evolve
Nature category	428	0
Nature days	428	2
Nature location	428	none
Nature phase	428	none
Nature action	429	Nature-evolve
Nature category	429	2
Nature days	429	0
Nature location	429	Region09
Nature phase	429	approaching
Nature action	430	Nature-evolve
Nature category	430	2
Nature days	430	1
Nature location	430	Region09
Nature phase	430	approaching
Nature action	431	Nature-evolve
Nature category	431	2
Nature days	431	2
Nature location	431	Region09
Nature phase	431	approaching
Nature action	432	Nature-evolve
Nature category	432	2
Nature days	432	0
Nature location	432	Region09
Nature phase	432	active
Nature action	433	Nature-evolve
Nature category	433	2
Nature days	433	1
Nature location	433	Region10
Nature phase	433	active
Nature action	434	Nature-evolve
Nature category	434	2
Nature days	434	2
Nature location	434	Region11
Nature phase	434	active
Nature action	435	Nature-evolve
Nature category	435	2
Nature days	435	3
Nature location	435	Region11
Nature phase	435	active
Nature action	436	Nature-evolve
Nature category	436	2
Nature days	436	4
Nature location	436	Region11
Nature phase	436	active
Nature action	437	Nature-evolve
Nature category	437	2
Nature days	437	5
Nature location	437	Region11
Nature phase	437	active
Nature action	438	Nature-evolve
Nature category	438	2
Nature days	438	6
Nature location	438	Region07
Nature phase	438	active
Nature action	439	Nature-evolve
Nature category	439	2
Nature days	439	7
Nature location	439	Region08
Nature phase	439	active
Nature action	440	Nature-evolve
Nature category	440	2
Nature days	440	8
Nature location	440	none
Nature phase	440	active
Nature action	441	Nature-evolve
Nature category	441	0
Nature days	441	0
Nature location	441	none
